province,city,area,phase_or_block,sub_block,category,plot_type,rate_pkr,rate_unit,source_type,source_document,source_page,effective_date,notes
Punjab,Lahore,DHA,Phase 4,,Commercial,Regular,6362100,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,78,2024-11-01,
Punjab,Lahore,DHA,Phase 5,,Residential,Regular,1937800,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,78,2024-11-01,Defence Phase
Punjab,Lahore,DHA,Phase 5,,Commercial,Regular,8712100,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,78,2024-11-01,
Punjab,Lahore,DHA,Phase 6,,Residential,Regular,1617800,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,78,2024-11-01,Defence Phase
Punjab,Lahore,DHA,Phase 6,,Commercial,Regular,6832100,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,78,2024-11-01,
Punjab,Lahore,DHA,Phase 7,,Residential,Regular,1292800,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,79,2024-11-01,Defence Phase
Punjab,Lahore,DHA,Phase 7,,Commercial,Regular,4772100,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,79,2024-11-01,
Punjab,Lahore,DHA,Phase 8,,Residential,Regular,1527800,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,79,2024-11-01,Defence Phase
Punjab,Lahore,DHA,Phase 8,,Commercial,Regular,5597100,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,79,2024-11-01,
Punjab,Lahore,DHA,Phase 9,,Residential,Regular,822800,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,79,2024-11-01,Defence Phase
Punjab,Lahore,DHA,Phase 9,,Commercial,Regular,4477100,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,79,2024-11-01,
Punjab,Lahore,DHA,Phase 5,M-Block,Residential,Regular,907800,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,78,2024-11-01,Phase V Ext M-Block
Punjab,Lahore,Bahria Town,,,Residential,Regular,1350600,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,3,2024-11-01,
Punjab,Lahore,Bahria Town,,,Commercial,Regular,4704800,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,3,2024-11-01,
Punjab,Lahore,Gulberg,Gulberg I,,Residential,Regular,2464400,per_marla,FBR,FBR_Lahore_SRO1722_I_2024.pdf,42,2024-11-01,Gulberg I-V grouped
